"","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","uri","analysis_url"
"1","0CAfXk7DXMnon4gLudAp7J",0.918,0.609,10,-5.64,0,0.0791,0.0928,0,0.139,0.304,128.008,231400,4,"spotify:track:0CAfXk7DXMnon4gLudAp7J","https://api.spotify.com/v1/audio-analysis/0CAfXk7DXMnon4gLudAp7J"
"2","7wZUrN8oemZfsEd1CGkbXE",0.638,0.656,5,-5.886,1,0.0357,0.188,0,0.146,0.217,104.036,262467,4,"spotify:track:7wZUrN8oemZfsEd1CGkbXE","https://api.spotify.com/v1/audio-analysis/7wZUrN8oemZfsEd1CGkbXE"
"3","0JEqGkvUiMTQmFY6sgL9kg",0.649,0.552,1,-5.419,0,0.0292,0.03,6.47e-06,0.111,0.169,89.969,253813,4,"spotify:track:0JEqGkvUiMTQmFY6sgL9kg","https://api.spotify.com/v1/audio-analysis/0JEqGkvUiMTQmFY6sgL9kg"
"4","4P7VFiaZb3xrXoqGwZXC3J",0.828,0.433,0,-9.716,1,0.199,0.0656,0.000876,0.122,0.446,148.073,299333,4,"spotify:track:4P7VFiaZb3xrXoqGwZXC3J","https://api.spotify.com/v1/audio-analysis/4P7VFiaZb3xrXoqGwZXC3J"
"5","6ucR4KfvsBFWCMVFDvyKKl",0.654,0.61,8,-6.051,1,0.0285,0.0399,0,0.101,0.119,118.032,184400,4,"spotify:track:6ucR4KfvsBFWCMVFDvyKKl","https://api.spotify.com/v1/audio-analysis/6ucR4KfvsBFWCMVFDvyKKl"
"6","519tXYJVcrpEMqV2BMbh6E",0.466,0.759,8,-4.978,0,0.199,0.0521,0,0.0587,0.341,160.033,264373,4,"spotify:track:519tXYJVcrpEMqV2BMbh6E","https://api.spotify.com/v1/audio-analysis/519tXYJVcrpEMqV2BMbh6E"
"7","4E6cwWJWZw2zWf7VFbH7wf",0.583,0.786,2,-3.142,0,0.0301,0.0208,0,0.188,0.556,123.052,258827,4,"spotify:track:4E6cwWJWZw2zWf7VFbH7wf","https://api.spotify.com/v1/audio-analysis/4E6cwWJWZw2zWf7VFbH7wf"
"8","5j0McHPthKpOXRr3fBq8M0",0.573,0.712,0,-5.976,1,0.0732,0.0572,0,0.167,0.355,140.012,259720,4,"spotify:track:5j0McHPthKpOXRr3fBq8M0","https://api.spotify.com/v1/audio-analysis/5j0McHPthKpOXRr3fBq8M0"
"9","1j3H54xdahpAkNI0q6S89q",0.659,0.696,3,-4.291,1,0.071,0.143,0,0.13,0.655,86.001,252160,4,"spotify:track:1j3H54xdahpAkNI0q6S89q","https://api.spotify.com/v1/audio-analysis/1j3H54xdahpAkNI0q6S89q"
"10","7tAXHZdp9UpcYrHn7MZqfo",0.672,0.819,11,-4.457,1,0.0463,0.0371,0.000184,0.203,0.452,120.013,278036,4,"spotify:track:7tAXHZdp9UpcYrHn7MZqfo","https://api.spotify.com/v1/audio-analysis/7tAXHZdp9UpcYrHn7MZqfo"
